
Age,Name_of_Labour,Experience,Lift Weight,Size,Availability_Of_Crane,Height,Wind_Speed,Temperature,Humidity,Safety_status,Health_Status,Weather_Condition,Site_Logistics,Availability_of_scaffold,Predicted_Productivity,Task,Brick_Quantity,Cement_Quantity,Sand_Quantity,Water_Quantity,,
22,Painter,1,200,5x4,Yes,8,7,23,62,Good,Fit,Sunny,Average,No,0.65,Brickwork,2500,100,2000,500,,
25,Electrician,3,400,7x6,Yes,12,3,28,58,Excellent,Fit,Cloudy,Excellent,Yes,0.83,Brickwork,3000,120,2500,600,,
41,Mason,1,250,5x5,No,9,8,22,65,Average,Asthma,Windy,Average,No,0.54,Brickwork,2200,110,1800,450,,
26,Plumber,2,350,6x5,Yes,11,6,27,55,Good,Overweight,Rainy,Good,Yes,0.72,Brickwork,2800,130,2300,550,,
35,Welder,2,300,7x5,No,10,4,24,68,Average,Fit,Sunny,Average,Yes,0.67,Brickwork,2600,115,2100,500,,
23,Carpenter,2,350,6x5,Yes,11,6,26,63,Average,Asthma,Cloudy,Average,No,0.69,Brickwork,2900,125,2400,570,,
39,Mason,4,280,6x6,No,10,7,24,63,Average,Fit,Cloudy,Average,No,0.61,Brickwork,2300,105,1900,480,,
33,Painter,2,220,5x5,Yes,11,6,26,60,Good,Fit,Cloudy,Good,Yes,0.68,Brickwork,2400,110,2000,500,,
24,Electrician,4,420,8x7,Yes,13,3,30,53,Excellent,Fit,Sunny,Excellent,Yes,0.9,Brickwork,3100,140,2600,620,,
21,Mason,1,240,5x4,No,8,9,21,70,Average,Asthma,Windy,Average,No,0.51,Brickwork,2100,100,1700,420,,
22,Carpenter,1,200,5x4,Yes,8,7,23,62,Good,Fit,Sunny,Average,No,0.65,Brickwork,2500,100,2000,500,,
32,Electrician,2,300,6x4,Yes,10,5,25,60,Good,Fit,Sunny,Good,Yes,0.78,Brickwork,2800,120,2300,600,,
25,Mason,3,400,7x6,Yes,12,3,28,58,Excellent,Fit,Cloudy,Excellent,Yes,0.83,Brickwork,3000,130,2500,650,,
41,Plumber,1,250,5x5,No,9,8,22,65,Average,Asthma,Windy,Average,No,0.54,Brickwork,2200,110,1800,450,,
26,Welder,2,350,6x5,Yes,11,6,27,55,Good,Overweight,Rainy,Good,Yes,0.72,Brickwork,2700,125,2200,550,,
35,Painter,2,300,7x5,No,10,4,24,68,Average,Fit,Sunny,Average,Yes,0.67,Brickwork,2600,120,2100,500,,
24,Carpenter,1,200,4x4,No,8,9,20,70,Good,Fit,Windy,Good,Yes,0.61,Brickwork,2300,100,1900,480,,
23,Electrician,2,350,6x5,Yes,11,6,26,63,Average,Asthma,Cloudy,Average,No,0.69,Brickwork,2900,130,2400,600,,
22,Mason,3,400,8x6,Yes,12,3,29,58,Excellent,Fit,Sunny,Excellent,Yes,0.88,Brickwork,3200,140,2600,700,,
25,Plumber,1,250,5x5,No,9,8,23,67,Average,Overweight,Rainy,Average,Yes,0.57,Brickwork,2100,90,1700,400,,
36,Welder,2,350,6x5,Yes,11,5,28,56,Good,Fit,Sunny,Good,Yes,0.75,Brickwork,2800,120,2300,550,,
43,Painter,2,300,7x5,No,10,4,25,65,Good,Asthma,Cloudy,Good,Yes,0.63,Brickwork,2500,110,2000,500,,
21,Painter,1,200,5x4,Yes,8,7,21,69,Average,Fit,Windy,Average,No,0.59,Brickwork,2400,100,2000,470,,
24,Carpenter,1,200,5x4,Yes,8,7,21,69,Average,Fit,Windy,Average,No,0.59,Brickwork,2400,100,2000,470,,
22,Electrician,2,350,6x5,Yes,11,6,27,62,Good,Fit,Sunny,Good,Yes,0.71,Brickwork,3000,130,2400,650,,

