

Age,Name_of_Labour,Experience,Lift Weight,Size,Availability_Of_Crane,Height,Wind_Speed,Temperature,Humidity,Safety_status,Health_Status,Weather_Condition,Site_Logistics,Availability_of_scaffold,Predicted_Productivity
22,Painter,1,200,5x4,Yes,8,7,23,62,Good,Fit,Sunny,Average,No,0.65
32,Carpenter,2,300,6x4,Yes,10,5,25,60,Good,Fit,Sunny,Good,Yes,0.78
25,Electrician,3,400,7x6,Yes,12,3,28,58,Excellent,Fit,Cloudy,Excellent,Yes,0.83
41,Mason,1,250,5x5,No,9,8,22,65,Average,Asthma,Windy,Average,No,0.54
26,Plumber,2,350,6x5,Yes,11,6,27,55,Good,Overweight,Rainy,Good,Yes,0.72
35,Welder,2,300,7x5,No,10,4,24,68,Average,Fit,Sunny,Average,Yes,0.67
24,Painter,1,200,4x4,No,8,9,20,70,Good,Fit,Windy,Good,Yes,0.61
23,Carpenter,2,350,6x5,Yes,11,6,26,63,Average,Asthma,Cloudy,Average,No,0.69
22,Electrician,3,400,8x6,Yes,12,3,29,58,Excellent,Fit,Sunny,Excellent,Yes,0.88
25,Mason,1,250,5x5,No,9,8,23,67,Average,Overweight,Rainy,Average,Yes,0.57
36,Plumber,2,350,6x5,Yes,11,5,28,56,Good,Fit,Sunny,Good,Yes,0.75
43,Welder,2,300,7x5,No,10,4,25,65,Good,Asthma,Cloudy,Good,Yes,0.63
21,Painter,1,200,5x4,Yes,8,7,21,69,Average,Fit,Windy,Average,No,0.59
24,Carpenter,2,350,6x5,Yes,11,6,27,62,Good,Fit,Sunny,Good,Yes,0.71
22,Electrician,3,400,7x6,Yes,12,4,30,57,Excellent,Fit,Sunny,Excellent,Yes,0.85
39,Mason,4,280,6x6,No,10,7,24,63,Average,Fit,Cloudy,Average,No,0.61
25,Plumber,3,380,7x5,Yes,12,5,29,59,Good,Overweight,Sunny,Good,Yes,0.79
21,Welder,1,270,6x4,No,9,8,22,67,Average,Asthma,Rainy,Average,Yes,0.62
33,Painter,2,220,5x5,Yes,11,6,26,60,Good,Fit,Cloudy,Good,Yes,0.68
23,Carpenter,3,330,7x6,Yes,12,4,28,55,Excellent,Fit,Sunny,Excellent,Yes,0.81
24,Electrician,4,420,8x7,Yes,13,3,30,53,Excellent,Fit,Sunny,Excellent,Yes,0.9
21,Mason,1,240,5x4,No,8,9,21,70,Average,Asthma,Windy,Average,No,0.51
42,Plumber,4,400,8x6,Yes,13,5,31,57,Good,Overweight,Cloudy,Good,Yes,0.77
25,Welder,3,370,7x6,No,12,6,29,62,Average,Fit,Rainy,Average,Yes,0.65
22,Painter,2,190,4x4,Yes,9,7,23,65,Good,Fit,Sunny,Good,Yes,0.63
